[2026-09-24T12:25:01.336306+00:00] AUDIT_EVENT | id=24bef148-b7a1-46a5-91d3-3a43979e22aa | name=Mechanical Keyboard | type=sync | client_ip=testclient | status=AUDIT_RECORDED
[2026-09-24T12:26:11.210948+00:00] AUDIT_EVENT | id=c93204b3-6383-4dd1-b9c1-f97db8b9e3b9 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.210948+00:00] AUDIT_EVENT | id=d1e912ac-306b-4ed2-b48b-187b1e3a9bc3 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.215360+00:00] AUDIT_EVENT | id=21f1c021-d201-4ca8-a970-cefa3eacac9d | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.215360+00:00] AUDIT_EVENT | id=f5a9f30a-ef23-4700-808e-a65b5d3ffb89 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.231819+00:00] AUDIT_EVENT | id=961979db-98cc-402c-b4ae-7c2c8158a8c2 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.232406+00:00] AUDIT_EVENT | id=54c18c2e-32c9-499d-a442-4837bc7ddd16 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.274411+00:00] AUDIT_EVENT | id=5cf4da69-0c28-452e-a81c-6700765eba25 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.274411+00:00] AUDIT_EVENT | id=9adf99cc-1294-4a4b-b71b-af4f9fbfc8d6 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.285237+00:00] AUDIT_EVENT | id=dd7cdad0-dbd5-471d-975f-51d7c87495ad | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.287989+00:00] AUDIT_EVENT | id=b9e62967-c6c7-45d9-88f4-a9aa55555d35 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.288554+00:00] AUDIT_EVENT | id=6739b0ec-7e5e-45e5-8641-a07a7a70bdb9 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.289094+00:00] AUDIT_EVENT | id=448eb996-d2a9-4e8d-9773-d6337ee976ce | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.290170+00:00] AUDIT_EVENT | id=46236ce7-050c-4bfb-b87f-fc09b3ef6f1d | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.290170+00:00] AUDIT_EVENT | id=6d68b089-ed3e-4f14-be43-5f50bc564604 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.301334+00:00] AUDIT_EVENT | id=5ebd54df-9220-428c-80fd-be54374ce4ea | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.301334+00:00] AUDIT_EVENT | id=0616e709-93a7-42eb-b05d-c6a9bc76582f | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.348841+00:00] AUDIT_EVENT | id=a9cfb58d-f8ad-4ded-bcbd-76f686d9bf19 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.357946+00:00] AUDIT_EVENT | id=9655696b-60fd-4d33-85e7-12a2b267eef3 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.370841+00:00] AUDIT_EVENT | id=6f8e01ed-9c1c-4005-aa3e-1fa01375e2a4 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.370841+00:00] AUDIT_EVENT | id=1ffd924f-4c8c-4455-b0a6-1fc59ba13842 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.370841+00:00] AUDIT_EVENT | id=8f9c2634-7821-4648-83e2-b3819a303ddc | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.370841+00:00] AUDIT_EVENT | id=5d709b80-7145-4a95-bdb5-001fb6db3563 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.371434+00:00] AUDIT_EVENT | id=77f52513-959d-4df2-95f4-7d9bd1d4ff84 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.370841+00:00] AUDIT_EVENT | id=39dbdd07-9101-468c-99ea-dcd7b971a562 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.371434+00:00] AUDIT_EVENT | id=b2b2c942-fa38-4ab9-af33-916ee4df0a8a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.420883+00:00] AUDIT_EVENT | id=889989fa-45cc-447a-ba75-b2f806f7fc82 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.423592+00:00] AUDIT_EVENT | id=8740145a-cc26-44a1-a9db-9966d6f3a199 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.436759+00:00] AUDIT_EVENT | id=7ddffa5d-34fb-4e49-9f33-9f8dee16c087 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.441735+00:00] AUDIT_EVENT | id=630b8cc5-fcc1-44fe-be01-543053af6f19 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.448916+00:00] AUDIT_EVENT | id=4755464f-4bcd-41a7-9db3-2aedfa5a56fe | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.452857+00:00] AUDIT_EVENT | id=2d186162-0350-437c-bfe9-8ce4b3c2f01c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.456185+00:00] AUDIT_EVENT | id=deb5d48a-cd26-4f82-9de0-cc894caafdb5 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.457339+00:00] AUDIT_EVENT | id=4adbd2ae-1f24-43ae-903f-f1d544c6ba3a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.456751+00:00] AUDIT_EVENT | id=88807074-6368-4d84-bc2a-edebdbf93a6f | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.457339+00:00] AUDIT_EVENT | id=57d5ec39-aeda-4659-9de8-a107a9026f2a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.480775+00:00] AUDIT_EVENT | id=fbf35758-11e2-4d27-a76c-4155a994bd38 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.481323+00:00] AUDIT_EVENT | id=616a0c92-dc53-4779-9708-2e9028e07c3c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.502482+00:00] AUDIT_EVENT | id=d235caa1-fadc-41ae-9bb6-d904b52aa6e7 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.509701+00:00] AUDIT_EVENT | id=008a7c08-752d-4ac7-8127-f27cc938b2fc | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.515694+00:00] AUDIT_EVENT | id=add7e9d9-3a53-4b0b-bca8-20a7bbf0d18f | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.522343+00:00] AUDIT_EVENT | id=6febbc9a-1f89-4c80-809f-0fd1901da63c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.526160+00:00] AUDIT_EVENT | id=d65b8243-7099-40b4-92aa-f25cd6427651 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.528922+00:00] AUDIT_EVENT | id=274c3d6b-0574-48dc-93a2-a00feecab16b | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.527832+00:00] AUDIT_EVENT | id=5ffc5662-3eee-44d7-aaec-262e09bb2b27 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.528922+00:00] AUDIT_EVENT | id=2669234c-c1a2-4cb7-baab-d991a12a3d6b | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.539976+00:00] AUDIT_EVENT | id=fc755ab1-9492-446e-954a-418445cf722c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.539976+00:00] AUDIT_EVENT | id=ca9f887e-4a4d-425c-bfdb-17eac81c6e9e | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.560161+00:00] AUDIT_EVENT | id=44ef97f8-3240-4058-96f2-27a8ba89ae34 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.565717+00:00] AUDIT_EVENT | id=b84fda2d-3239-4dd6-9b07-12456e997d4c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.585410+00:00] AUDIT_EVENT | id=9cf176fe-8354-45bf-9bc5-9c42f6c06d12 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.592599+00:00] AUDIT_EVENT | id=601364de-7548-4b21-b9dd-71bac105d94c | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.594784+00:00] AUDIT_EVENT | id=e2dd4dca-8eff-4b31-a4b8-41b630731ce3 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.596961+00:00] AUDIT_EVENT | id=152650bd-5321-4c73-9480-4dc29639e256 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.597502+00:00] AUDIT_EVENT | id=2a3ef863-3a5f-4aa6-b67d-8efbc04eab28 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.597502+00:00] AUDIT_EVENT | id=872b7959-11a5-452c-9133-683b2aca3d65 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.606918+00:00] AUDIT_EVENT | id=842cb362-a9bd-42d7-8233-0751475bf0d2 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.606918+00:00] AUDIT_EVENT | id=5c83b447-4159-4bd7-9384-d9aa6840d53a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.615859+00:00] AUDIT_EVENT | id=3f2d4ed3-524a-4a82-9d34-764f46ee8396 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.621451+00:00] AUDIT_EVENT | id=7adbddbb-945a-477d-9e17-9159b85170d6 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.649711+00:00] AUDIT_EVENT | id=ee372032-2a7a-45fe-923b-fbb2d1863b8a | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.662272+00:00] AUDIT_EVENT | id=654e6c30-672c-4823-a1c3-e19a64c3155f | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.668975+00:00] AUDIT_EVENT | id=f3c780ee-d92c-406f-82c0-61fe3ce24911 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.674628+00:00] AUDIT_EVENT | id=3d363f26-cc87-4e26-afaa-55c04d0dfbc0 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.674628+00:00] AUDIT_EVENT | id=8a313bbe-9926-4f47-9b76-73354f5cde0d | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.679031+00:00] AUDIT_EVENT | id=ca2735e1-d3c4-4215-8bad-be27b2389fe8 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.679031+00:00] AUDIT_EVENT | id=b3d7b1c1-5816-463d-a160-7432ac525c74 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.679031+00:00] AUDIT_EVENT | id=9b1cbb3d-0c7a-48cf-9726-66a6e63f06cf | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.683434+00:00] AUDIT_EVENT | id=f29f2f43-42d6-4b6e-b226-48e4aa2c4d05 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.684534+00:00] AUDIT_EVENT | id=3ca8d97b-323a-4089-a423-760de618bd32 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.706285+00:00] AUDIT_EVENT | id=c9817e85-bcbe-4cf1-9e20-41c590eabbee | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.732679+00:00] AUDIT_EVENT | id=023faed1-abde-4eb4-a0ff-ba8f5536a2c8 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.737011+00:00] AUDIT_EVENT | id=c0245849-b98d-47f4-b590-d73e741cf5d4 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:11.739022+00:00] AUDIT_EVENT | id=7c97f887-2b0a-4cb1-b2c0-85bc759aef52 | name=Benchmark Laptop | type=sync | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828940+00:00] AUDIT_EVENT | id=817970c7-0472-4978-8783-337742cb9dab | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828940+00:00] AUDIT_EVENT | id=063d799e-7fef-46d8-bce8-c218727d052e | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828432+00:00] AUDIT_EVENT | id=5b1ba4e1-b212-41d8-8815-c80d7470b98f | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828940+00:00] AUDIT_EVENT | id=53c940ce-a751-4710-96be-2255ccbcbd7f | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828432+00:00] AUDIT_EVENT | id=731ad571-601d-401e-9a7c-500d7bd8b86e | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828432+00:00] AUDIT_EVENT | id=7813643b-a356-44b9-befb-95e15cee7dbb | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.828940+00:00] AUDIT_EVENT | id=d8a6b301-daff-41ea-92a0-38020b3cc576 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.906214+00:00] AUDIT_EVENT | id=fa3747ac-b016-44cf-bb12-883e7ffd9f23 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.905657+00:00] AUDIT_EVENT | id=5646e536-f67f-4d49-b999-45cb35c4381e | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.905657+00:00] AUDIT_EVENT | id=7810de48-210b-4eff-8604-59807089e4d5 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.905657+00:00] AUDIT_EVENT | id=37e5a4d1-cdef-4b26-8f11-7a7b85a2d773 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.906214+00:00] AUDIT_EVENT | id=b1203fb8-fbd7-4cd0-8175-2f34106d5699 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.905657+00:00] AUDIT_EVENT | id=f74c798f-4762-4b6c-8cb4-f914acaa4036 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.906214+00:00] AUDIT_EVENT | id=0bdf79ef-6526-4af2-884c-392fd7ad9557 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.906214+00:00] AUDIT_EVENT | id=8d3290a2-525d-497a-b065-aee53d3c45e5 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.906214+00:00] AUDIT_EVENT | id=c566b27a-0c77-4871-acf5-83dd787632f3 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.959045+00:00] AUDIT_EVENT | id=8d2c73bb-0bb7-4871-a1d4-5d4db89e9dad | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.959045+00:00] AUDIT_EVENT | id=799955bd-14bf-4999-92f1-d16317e0c56e | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:13.959045+00:00] AUDIT_EVENT | id=be5c8621-1aaf-4127-9fb5-e06013467aeb | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:14.003406+00:00] AUDIT_EVENT | id=32f6cf7e-0379-4a0f-a932-88bb027eebdb | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:14.003406+00:00] AUDIT_EVENT | id=e5881a7a-a508-4de7-ae5e-95e843d89273 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:14.003406+00:00] AUDIT_EVENT | id=835e2925-e1d8-445e-a71e-793efc09b2e6 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
[2026-09-24T12:26:14.003406+00:00] AUDIT_EVENT | id=de2b75e9-fd72-46e2-b5ee-8cbda999e635 | name=Benchmark Laptop | type=async | client_ip=127.0.0.1 | status=AUDIT_RECORDED
